Pass Out,Tinie Tempah,237,
Wash Away,Matt Costa,235,
Whataya Want From Me,Adam Lambert,230,
Broken,Jake Bugg,248,
Lucky,"Colbie Caillat,Jason Mraz",196,
South Of Heaven,Slayer,808,
Move Your Feet,Junior Senior,186,
Geek In The Pink,Jason Mraz,238,
Sunrise,Norah Jones,205,
Last Kiss,Taylor Swift,372,
Heresy,Nine Inch Nails,235,
Lemonade,Chris Rice,186,
"Jesus, Walk With Me",Club 8,194,
Moves Like Jagger,Maroon 5,201,
Cry,James Blunt,254,
On The Road To Ruin,The Notorious Cherry Bombs,206,
U-Turn (Lili),Aaron,230,
Undenied,Portishead,260,
Going Through Changes,Eminem,797,
Get Me Gone,Fort Minor,121,
Lonely As You,Foo Fighters,277,
Spade , Marilyn Manson,282,
Kiss Off,Violent Femmes,176,
Up And Up,Relient K,244,
Little Smirk,Theory Of A Deadman,211,
We Will Not Grow Old,Lenka,202,
Tell That Mick He Just Made My List Of Things To Do Today , Fall Out Boy,212,
Dreamer,Uh Huh Her,236,
These Four Walls,Shawn Colvin,177,
Listen To The Band,The Monkees,153,
The Turnaround,Ringo Starr,234,
Skinny Little Bitch,Hole,194,
Dead Beat , A Place To Bury Strangers,215,
Fire Burning,Sean Kingston,245,
Sometime In The Morning,The Monkees,147,
Wherever I May Roam , Metallica,407,
Come To My Window,Melissa Etheridge,237,
Communication,The Cardigans,272,
Love You Like A Love Song,Selena Gomez & The Scene,185,
Say Hello,Rosie Thomas,372,
Happy,Natasha Bedingfield,223,
Hit The Lights , Metallica,254,
Better Than A Hallelujah,AMY GRANT,225,
I Miss You,Darren Hayes,333,
Not In Love,Enrique Iglesias,225,
Free Life,Dan Wilson,243,
"Please, Please, Please Let Me Get What I Want",The Smiths,112,
All Star,Smash Mouth,220,
It Gets Better,Fun.,216,
Better Than A Hallelujah,AMY GRANT,225,
Should You Return,Copeland,249,
do what they say,Korn,257,
Somedays,Room Eleven,147,
Nookie , Limp Bizkit,266,
Zombie,The Cranberries,307,
Requiem,Lamb of God,251,
Cleanin Out My Closet,Eminem,303,
We'Re All To Blame,SUM 41,219,
Coldest Winter,Kanye West,168,
Pinocchio Story (Freestyle Live Fr,Kanye West,362,
grace is gone,Dave Matthews Band,278,
Brand New Me,Alicia Keys,239,
Billionaire (Feat. Bruno Mars),Travie Mccoy,214,
Song To The Siren,John Frusciante,217,
The Story , Limp Bizkit,231,
Want You Bad , The Offspring,202,
wait,Alexi Murdoch,357,
Comes And Goes (In Waves),Greg Laswell,256,
Exit , Longwave,231,
I'M A Believer,The Monkees,164,
You'Re Not Alone,Shayne Ward,233,
I Belong To Me,Jessica Simpson,220,
miserable at best,mayday parade,317,
Valleri,The Monkees,143,
Shy That Way,"Tristan Prettyman,Jason Mraz",213,
Coldest Winter,Matt Cab,228,
Cicadas & Gulls,Feist,198,
Roll On Down The Highway,Bachman-Turner Overdrive,239,
I'M Ok,Christina Aguilera,318,
Going Home,Sophie Zelmani,252,
Heart Of A Jealous Man,The Notorious Cherry Bombs,242,
Parisienne Moonlight,Anathema,130,
Homesick,Kings Of Convenience,194,
Milk And Toast And Honey,Roxette,247,
You Oughta Know,Alanis Morissette,329,
Santa Baby,Taylor Swift,165,
Try To Remember,ÀèÃ÷,130,
Picture To Burn,Taylor Swift,179,
Raise Your Voices,Secret Garden,256,
In My Darkest Hour , Megadeth,389,
One More Chance,Will.i.am,267,
I Was Only Joking,Rod Stewart,367,
Hero,Mariah Carey,260,
Anyone Of Us (Stupid Mistake),Gareth Gates,231,
Stephanie Says,Lady & Bird,186,
Miss You,coldrain,238,
Love Will Keep Us Alive,Eagles,246,
Kiss Me,Tom Waits,589,
Safe And Sound,Azure Ray,183,
The Unforgiven,Metallica,389,
So Bad,Eminem,867,
Polythene Queen,miss li,214,
A Different Kind Of Pain (Album Version),Cold,320,
Take This Heart Of Mine,Marvin Gaye,167,
Say Goodbye,Katharine Mcphee,229,
The One You Love,Glenn Frey,277,
1234,Feist,183,
A Century Ends,David Gray,308,
Lonely Road,Everlast,198,
Some Nights (Intro),Fun.,137,
I Ain'T Goin' Out Like That,Cypress Hill,268,
Jar Of Hearts,Christina Perri,661,
Holiday In Spain,Counting Crows,230,
It'S Amazing,Jem,238,
Nothing Else Matters,Metallica,392,
Satisfied,Ringo Starr,199,
Paper Ships (feat. the Silverl,Dead Manâ€²s Bones,176,
You Belong To Me,Jason Wade,165,
Doing Fine (Without You),Pixie Lott,190,
Pocketful Of Sunshine,Natasha Bedingfield,206,
Lonely Lullaby,Owl City,274,
What Sarah Said (Album Version),Death Cab For Cutie,381,
Bourgeois Shangri-La,miss li,168,
Last Goodbye,Ke$ha,234,
Dementia,Owl City,215,
Do I Have To Cry For You,Nick Carter,218,
Chapter Six,Kendrick Lamar,165,
Thank You,Dido,223,
7 Days,Craig David,239,
The A Team,Ed Sheeran,259,
Me And You,Ringo Starr,135,
Master Of Puppets,Metallica,517,
Proud Of You,·ëêØæ¥,187,
Never Say Goodbye (Adapted From _Pavane_),Hayley Westenra,196,
Good Day,Nappy Roots,223,
Goodness Gracious,Ellie Goulding,227,
Forget Her,Jeff Buckley,313,
Lollipop,Mika,189,
Wait A Minute,The Notorious Cherry Bombs,166,
End Of The Line,Traveling Wilburys,207,
In My Secret Life,Leonard Cohen,293,
Making Memories Of Us,The Notorious Cherry Bombs,244,
Whatever You Like (Single Version),Anya Marina,229,
How Could I,Marc Anthony,270,
Breakdown,Jack Johnson,212,
Sick , Adelitas Way,191,
Over The Rainbow _ What A Wonderful World,Israel Kamakawiwo'ole,295,
Silent Night,Taylor Swift,212,
Hero of the Soviet Union,The Dillinger Escape Plan,179,
Lose You,Pete Yorn,278,
Cups,Anna Kendrick,77,
A Natural Disaster,Anathema,387,
Junk Of The Heart (Happy),The Kooks,187,
Handle This,SUM 41,218,
Summer Sunshine (Album Version),The Corrs,175,
A Little Love,·ëêØæ¥,192,
I Believe In Love,Dixie Chicks,258,
Like A Star,Corinne Bailey Rae,242,
Wanna Be Close,Avant,227,
Limp Bizkit,The Truth,327,
Nothing But A Miracle,Diane Birch,266,
My Place,Nelly,275,
And Then You,Greg Laswell,212,
I'M Back,Eminem,312,
Screaming For Vengeance , Judas Priest,283,
All Messed Up,Sum 41,164,
Wargasm , L7,166,
kiss,Korn,250,
Hurt,Christina Aguilera,246,
Happy,Pharrell Williams,234,
Dying In The Sun,The Cranberries,211,
My Derailment,Adelitas Way,217,
Paper Aeroplane,KT Tunstall,199,
Whiskey Lullaby,"Alison Krauss,Brad Paisley",260,
Twilight Innocence,Novembers Doom,359,
Sowing Season,Brand New,273,
A Place Nearby,Lene Marlin,252,
Flat On The Floor,Nickelback,125,
I Cry,Westlife,254,
Manhattan,Sara Bareilles,279,
Use Your Fist And Not Your Mouth,Marilyn Manson,222,
Be Alright,Justin Bieber,191,
Who The Fuck_,Pj Harvey,126,
Lose Yourself,Eminem,330,
Godspeed (Sweet Dreams),Dixie Chicks,287,
Parachute,Sean Lennon,201,
Amazing Grace,Olivia Ong,251,
My Life Would Suck Without You,Kelly Clarkson,215,
Shitlist , L7,179,
Marching Bands Of Manhattan,Death Cab For Cutie,253,
me vs. maradona vs. elvis,Brand New,319,
Beauty In The World,Macy Gray,230,
When I Go,Slow Club,186,
Everything At Once,Lenka,160,
Even Heaven Cries,Monrose,240,
03.45 _ No Sleep,The Cardigans,228,
Marry You,Bruno Mars,229,
Hide And Seek,Dannii Minogue,190,
Kiss Me Slowly,Parachute,237,
Hey Man (Now You'Re Really Living),Eels,181,
Roll To Me,Del Amitri,132,
Want,Natalie Imbruglia,257,
The Long And Winding Road,Paul McCartney,228,
How To Fight  Loneliness,Wilco,232,
Eyeless [Explicit],Slipknot,240,
Break Stuff,Limp Bizkit,168,
Cute,David Steinberg,229,
Don't Leave Me (Ne Me Quitte Pas),regina spektor,220,
This New Heartache,Vince Gill,215,
What a Wonderful World,Stacey Kent,271,
The Parting Glass,The High Kings,253,
Only,Nine Inch Nails,701,
Pink Rabbits,The National,282,
Even Now,William Fitzsimmons,176,
The Chosen Pessimist,In Flames,493,
Just Hold Me,Maria Mena,267,
I Feel It All,Feist,219,
Better Together,Jack Johnson,207,
Always Getting Over You,Angela Ammons,253,
Surviving The Times , Nas,283,
Don'T Stop Me Now,Queen,212,
Reason to Believe,Sum 41,156,
Cold As You,Taylor Swift,242,
Let It Go,Demi Lovato,227,
Something Good Can Work,Two Door Cinema Club,193,
Cartoon Heroes,Aqua,229,
Jailcell Mind,Hayley Sales,235,
Temptation,Moby,298,
Light Up the Sky,The Afters,217,
Blue Velvet,Lana Del Rey,159,
You Give Me Something,James Morrison,213,
Again And Again,Jewel,241,
I Need Some Sleep,Eels,97,
Sunshine,Matt Costa,155,
Mobile,Avril Lavigne,214,
Please,Tristan Prettyman,193,
Ldn,Lily Allen,195,
Send It Up,"King Louie,Kanye West",181,
'Till I Collapse,Eminem,299,
Vanilla Twilight,Owl City,234,
Shattered,trading yesterday,295,
"tyler, the creator",yonkers,249,
Flying,Anathema,358,
Stutter,Maroon 5,526,
Look On Down From The Bridge,Mazzy Star,287,
Hello,Tristan Prettyman,207,
Time for You to Go,Sum 41,182,
Forever Friends,·ëêØæ¥,186,
return to me,october project,258,
sum 41,skumfuk,204,
Funny Little Frog,belle and sebastian,188,
Skipalong,Lenka,236,
Choose Love,Ringo Starr,188,
Fall For Your Type,Jamie Foxx,236,
Billy Brown,MIKA,199,
Goodbye my lover,James blunt,253,
St. Anger,Metallica,441,
In My Secret Life,Leonard Cohen,233,
Awaken,Disturbed,269,
Get Lucky,dragonette,186,
The Crime At Edmond Lake,Tamas Wells,200,
Who Knew , Eminem,230,
Catholic Pagans,surfer blood,193,
Fascination,Alphabeat,186,
How To Save A Life,The Fray,262,
Liberate , Disturbed,211,
Hurt,Johnny Cash,218,
1234,Feist,489,
Goodbye,Sophie Zelmani,204,
The Channel , Limp Bizkit,278,
When You Wish Upon A Star,Rosemary Clooney,190,
Seven Years,Norah Jones,147,
Sermon,Drowning Pool,259,
So Much Love,the rocket summer,237,
End Of May,Keren Ann,213,
Hardly Wait,Pj Harvey,169,
California Dreaming,North,162,
Modern Nature,Sondre Lerche,220,
Living In The Moment,Jason Mraz,239,
Playing Your Song,Hole,203,
Pick Up the Phone,Falling In Reverse,279,
Breathe,Telepopmusik,286,
One Time,Justin Bieber,218,
Carried Away,Passion Pit,224,
Alone (2000 Digital Remaster),Heart,222,
I'M Sorry That The Kitchen Is On Fire,Tamas Wells,189,
the corrs,rain,255,
Stranger,Noah And The Whale,320,
The Day Before The Day,Dido,254,
The Girl I Knew Somewhere,The Monkees,152,
If I Had a Boat,James Vincent McMorrow,273,
Love Song For 1,Corrinne May,289,
Physical (You'Re So),Nine Inch Nails,331,
I Need My Girl,The National,251,
Shadow,Britney Spears,228,
Inside,Bang Gang,342,
Somebody That I Used To Know,Gotye,248,
Electric Daydream,Viva Brother,229,
Lost & Found,Lianne La Havas,269,
"Hey, Soul Sister",Train,219,
Evolution,Korn,218,
Sugarcane,Missy Higgins,197,
Living To Love You,Sarah Connor,690,
Daydream Believer,The Monkees,468,
Cage The Beast , Adelitas Way,197,
Little Girl In The World,ÁÖ¶þãë,235,
Wake Me Up Before You Go Go,Wham,231,
Falling Up,John Hiatt,220,
Bubbly,Colbie Caillat,222,
Letting Go,Jo De La Rosa,211,
Home,Michael BublÃ©,542,
Saturday'S Child,The Monkees,161,
One Mic , Nas,269,
Pig,Sparklehorse,146,
You Could Be Mine , Guns N' Roses,347,
I Knew I Loved You,Savage Garden,254,
Enter Sandman,Metallica,459,
No Promises,Shayne Ward,224,
Unwritten,Natasha Bedingfield,263,
I Hate Everything About You,Three Days Grace,233,
Preparing To Leave,Lunik,266,
If I Were A Boy,Beyonce,253,
Street Map,Athlete,281,
Forever Young,Alphaville,226,
The First Days Of Spring,Noah And The Whale,401,
The Airway,Owl City,262,
Shades Of Gray,The Monkees,199,
Let It Rain,Olivia Ong,271,
Love In December,Club 8,222,
25 To Life,Eminem,644,
Somewhat Damaged,Nine Inch Nails,271,
Little Love Caster,Laura Marling,352,
Otherside,Viva Brother,223,
Nothing Compares,Pixie Lott,217,
Shake Up Christmas 2011,Natasha Bedingfield,231,
By Our Love,Christy Nockels,221,
Behind These Hazel Eyes,Kelly Clarkson,197,
eminem,no afraid,248,
Marry You,Bruno Mars,231,
Shade Of Blue,Black Rebel Motorcycle Club,263,
The Ketchup Song (Asereje),Cats Up,207,
Civil War , Guns N' Roses,466,
Fun.,All The Pretty Girls,203,
I Am Hated (Album Version),Album Version,161,
Never Grow Up,Taylor Swift,296,
Eyepennies,Sparklehorse,330,
The Saltwater Room,Owl City,246,
Shape Of My Heart,Sting,278,
ever be,Korn,770,
Summer Cannibals , Patti Smith,249,
Stay The Same,Joey Mcintyre,227,
Criminal,Eminem,321,
Love Love Love (Album Version),Tristan Prettyman,208,
Almost Lover (Album Version),A Fine Frenzy,274,
Forgotten Hopes,Anathema,231,
Hey Julie,Fountains of Wayne,157,
Is There Somebody Who Can Watch You,The 1975,175,
Nicest Thing,Kate Nash,247,
Cry On My Shoulder,Bonnie Raitt,224,
Cancer,My Chemical Romance,144,
Follow You Down To The Red Oak Tree,James Vincent McMorrow,204,
Haunted,Taylor Swift,248,
Wise Up,Aimee Mann,209,
Littlest Things,Lily Allen,186,
Holiday Album Version, Green Day,0,
Between Sheets,Imogen Heap,173,
Burn In My Light,Mercy Drive,634,
Skinnyman , Static-X,220,
Crashed The Wedding,Busted,162,
My Love,Lene Marlin,272,
We're Going To Be Friends,The White Stripes,139,
Marshall Mathers,Eminem,323,
Alfie,Lily Allen,170,
Seventeen,Keren Ann,146,
The Sighting,A Fine Frenzy,302,
Hands On The Radio,Chris Garneau,238,
The Scientist,Coldplay,311,
But For Now,Jamie Cullum,241,
Love You So,Natalie,218,
Loving You Tonight,Andrew Allen,181,
Violet,Hole,207,
Walking On Sunshine,Katrina And The Waves,236,
Save Me From Myself,Christina Aguilera,196,
Pleasant Valley Sunday,The Monkees,186,
Mrs. T.,Good Lovelies,238,
Angry Again , Megadeth,242,
Thanks For Nothing,Sum 41,184,
Summertrain,Greyson Chance,274,
La Ballade Of Lady & Bird,Lady & Bird,283,
Honestly,Jo De La Rosa,208,
